id,name,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,created_at,vegan,vegetarian,note
2181,Le Soufflé,restaurant,french,75101,75,48.8664812947653,2.32652081747409,2024-12-12 09:09:27,0,0,
2182,Liquide par Substance,restaurant,french,75101,75,48.8610084987262,2.34238004883065,2024-12-12 09:09:27,0,0,
2183,On,restaurant,,75101,75,48.8662856611453,2.3327704482993,2024-12-12 09:09:27,0,0,
2184,やすべえ,restaurant,japanese,75101,75,48.8659273347846,2.3351934888687,2024-12-12 09:09:27,0,0,
2185,La maison rouge,restaurant,,75101,75,48.8604174907335,2.34687098873198,2024-12-12 09:09:27,0,0,
2186,Sushi Way,restaurant,sushi,75101,75,48.8622990603579,2.34346827131967,2024-12-12 09:09:27,0,0,
2187,Comptoir de la Gastronomie,restaurant,french,75101,75,48.8644965439129,2.34544355062153,2024-12-12 09:09:27,0,0,
2188,L'Escargot Montorgueil,restaurant,,75101,75,48.8641677218514,2.34670376976368,2024-12-12 09:09:27,0,0,
2189,Sapporo,restaurant,japanese,75101,75,48.8663405626111,2.33544938837258,2024-12-12 09:09:27,0,0,
2190,Le Passage Saint Honoré,restaurant,,75101,75,48.8676683398928,2.33168691967606,2024-12-12 09:09:27,0,0,
2191,Sur Mesure,restaurant,french,75101,75,48.8669486696863,2.32703957346152,2024-12-12 09:09:27,0,0,
2192,Macéo,restaurant,,75101,75,48.8663902672969,2.33808432345421,2024-12-12 09:09:27,1,1,
2193,Foujita,restaurant,"sushi, japanese",75101,75,48.8663998226665,2.33281478856708,2024-12-12 09:09:27,0,0,
2194,Au Vieux Comptoir,restaurant,,75101,75,48.858834233043,2.34602433269242,2024-12-12 09:09:27,0,0,
2195,Kalbas',restaurant,,75101,75,48.861250819547,2.34610907373352,2024-12-12 09:09:28,0,0,
2196,L'Épi d'Or,restaurant,french,75101,75,48.8628800938859,2.3411021438728,2024-12-12 09:09:28,0,0,
2197,Bean,restaurant,japanese,75101,75,48.867610672399,2.33299164672405,2024-12-12 09:09:28,0,0,
2198,La plume,restaurant,"japanese, french",75101,75,48.8648154753286,2.34451709886375,2024-12-12 09:09:28,0,0,
2199,Chez Léo,restaurant,french,75101,75,48.8616005963664,2.34406623629206,2024-12-12 09:09:28,0,0,
2200,Tzantza,restaurant,,75101,75,48.8639363813238,2.34347858106057,2024-12-12 09:09:28,0,0,
2201,La Verrière des Halles,restaurant,,75101,75,48.8627202509923,2.34803917457728,2024-12-12 09:09:28,0,0,
2202,Cial,restaurant,korean,75101,75,48.8627974483206,2.34806683485775,2024-12-12 09:09:28,0,0,
2203,Hong Yuan,restaurant,chinese,75101,75,48.8592181242084,2.34701649857107,2024-12-12 09:09:28,0,0,
2204,Le Petit Bouillon Pharamond,restaurant,french,75101,75,48.8630051518812,2.34850101744212,2024-12-12 09:09:28,0,0,
2205,Le Festival,restaurant,pizza,75101,75,48.8656092415592,2.33692602825468,2024-12-12 09:09:28,0,0,
2206,L'Incroyable,restaurant,,75101,75,48.8650199937661,2.33662922506329,2024-12-12 09:09:28,0,0,
2207,Pho banh cuon14,restaurant,,75101,75,48.8652722890516,2.33605028701109,2024-12-12 09:09:28,0,0,
2208,Végét'Halles,restaurant,,75101,75,48.8605713824758,2.34549744625895,2024-12-12 09:09:28,1,1,
2209,A Casaluna,restaurant,corsican,75101,75,48.8660742695472,2.33905377437526,2024-12-12 09:09:28,0,0,
2210,Bar Des Halles,restaurant,,75101,75,48.861100364385,2.34426983272013,2024-12-12 09:09:28,0,0,
2211,La Taverne de l'Arbre Sec,restaurant,,75101,75,48.8613399191777,2.34265799273987,2024-12-12 09:09:28,0,0,
2212,Aux Deux Écus,restaurant,,75101,75,48.8626976198538,2.34148452629557,2024-12-12 09:09:28,0,0,
2213,Omar Dhiab,restaurant,,75101,75,48.8651634919484,2.34193547268632,2024-12-12 09:09:28,0,0,
2214,Lémoni Café,restaurant,,75101,75,48.8647972865988,2.34117783245847,2024-12-12 09:09:28,0,0,
2215,L’As de Trèfle,restaurant,,75101,75,48.8636303580389,2.34333692689694,2024-12-12 09:09:28,0,0,
2216,Au père fouettard,restaurant,european,75101,75,48.8626764974578,2.34840445791758,2024-12-12 09:09:28,0,0,
2217,Cuizines,restaurant,,75101,75,48.8684635310468,2.3254366182986,2024-12-12 09:09:28,0,0,
2218,Nelly,restaurant,,75101,75,48.8685364536044,2.32540937711329,2024-12-12 09:09:28,0,0,
2219,Mimosa,restaurant,,75101,75,48.8608322273025,2.34452631895726,2024-12-12 09:09:28,0,1,
2220,Sushi One,restaurant,japanese,75101,75,48.8583432211551,2.34574094054614,2024-12-12 09:09:28,0,0,
2221,Les Artizans,restaurant,french,75101,75,48.863773185669,2.34655188967815,2024-12-12 09:09:28,0,0,
2222,Indian Thali,restaurant,,75101,75,48.8601355235107,2.34803582181601,2024-12-12 09:09:28,0,1,
2223,Bento&Go!,restaurant,japanese,75101,75,48.861720960496,2.34235448402598,2024-12-12 09:09:28,0,0,
2224,Pizi,restaurant,,75101,75,48.8639888520377,2.34359508951468,2024-12-12 09:09:28,0,0,
2225,Kim,restaurant,japanese,75101,75,48.8677317908998,2.332405164959,2024-12-12 09:09:28,0,0,
2226,Irasshai,restaurant,japanese,75101,75,48.862542470826,2.341855425511,2024-12-12 09:09:28,0,0,
2227,Le Grand Véfour,restaurant,french,75101,75,48.8662292509369,2.33797669981746,2024-12-12 09:09:28,0,0,
2228,Le Galant,restaurant,pizza,75101,75,48.8613491392712,2.34871274431629,2024-12-12 09:09:28,0,0,
2229,Shanghaï Hang-Tcheou,restaurant,chinese,75101,75,48.8602964560516,2.34185391676843,2024-12-12 09:09:28,0,0,
2230,Le petit St Honoré,restaurant,,75101,75,48.8621102998984,2.33987327304854,2024-12-12 09:09:28,0,0,
2231,Mipi,restaurant,"italian_pizza, italian",75101,75,48.8676811642046,2.33265486185454,2024-12-12 09:09:28,0,0,
